,Code,Website,Address,Phone,Directors
329,GLV,https://www.globaloilandgas.com.au,10 Outram Street,61 8 9388 0051,"['Mr. Kris  Martinick', 'Mr. Lloyd  Flint BAcc, FINSIA, M.B.A., MBA']"
330,RNX,https://renegadeexploration.com,6 – 10 Douro Place,61 1 3005 25118,"['Mr. Robert Edward Kirtlan', 'Ms. Paige  Exley', 'Mr. Benjamin Mathew Vallerine', 'Mr. Graeme Ian Smith BEc, FCIS, FCPA, FCSA, MAusIMM, MBA, Mcomlaw']"
331,LRL,https://labyrinthresources.com,460 Roberts Road,61 8 6149 1573,"['Mr. Simon Irwin Lawson M.Sc.', 'Ms. Jennifer  Neild', 'Mr. Edward  Milne', 'Mr. Bukhosi H. Ndimande', 'Ms. Kelly Ann Moore']"
332,CCZ,https://www.castillocopper.com,45 Ventnor Avenue,61 8 6558 0866,"['Mr. Dale Brian Hanna B.Com., C.A., CA AGIA']"
333,TMX,https://terrainminerals.com.au,28 Outram Street,61 8 9381 5558,"['Mr. Justin Anthony Virgin', 'Ms. Melissa Kate Chapman A.C.I.S., AGIA, B.Com., C.P.A.', 'Ms. Catherine  Grant-Edwards B.Com., C.A.']"
334,FTC,https://www.ttg.hk,"1701, Block B 2",86 75 5255 46800,"['Mr. Qiang  Xiong', 'Ms. Qiuju  Gao', 'Ms. Man Yi  Ho', 'Mr. Carter  Tseng', 'Ms. Daisy  Gao', 'Mr. Kevin  Xu']"
335,NAE,https://nae.net.au,480 Collins Street,61 3 9614 0600,"['Mr. Joshua J. Wellisch', 'Mr. Adrien Michele Wing B.Acc, B.Bus, C.P.A., CPA', 'Ms. Pauline M. Moffatt AAICD, B.Com., BCom, FGIA']"
336,AM7,https://arcadiaminerals.global,63 Shepperton Road,61 8 6158 9990,"['Mr. Jurie Hendrik Wessels B.A., BA, L.L.B., LLB', 'Mr. Philip  Le Roux B.Sc.', 'Mr. Daniel  Ellis BACC', 'Dr. Ismael  Kangueehi', 'Ms. Kyla  Garic B.Com., C.A.']"
337,EPN,https://epsilonhealthcare.com.au,9 Castlereagh Street,,"['Mr. Xiao  Cui', 'Ms. Diandra  Phipps', 'Mr. Daniel  Sanghera', 'Ms. Li  Lin', 'Mr. Marcelo  Mora']"
338,VN8,https://vonex.com.au,303 Coronation Drive,1800 828 668,"['Mr. Ian  Porter', 'Mr. Greg  King', 'Mr. Christo  Da Silva', 'Mr. Mike  Stabb BBus(Accy, BusLaw), FCA, MAICD, RTA']"
339,REC,https://rechargemetals.com.au,16 Ord Street,61 8 9481 0389,"['Ms. Felicity  Repacholi-Muir B.Sc., BSc', 'Ms. Amanda  Burgess CPA']"
340,MXO,https://www.motio.com.au,189 Kent Street,61 2 7227 2277,"['Mr. Adam  Cadwallader', 'Mr. Matthew  Foy A.C.I.S., ACIS, AGIA, BCom, FCIS, GradDipACG, SAFi']"
341,VSR,https://www.eonnrg.com,38 Colin Street,61 8 6245 9821,"['Mr. Michael  Walshe', 'Mr. Simon Charles Bunbury Adams A.C.I.S., A.I.C.D, AGIA, B.Bus, B.Com., M.Acc', 'Mr. Lachlan John Reynolds B.Sc. (Hons), MAIG, MAusIMM', 'Mr. Claudio  Sheriff-Zegers']"
342,ASV,https://www.assetvision.com.au,799 Springvale Road,61 1 8003 38279,"['Mr. Damian  Smith', 'Mr. Lucas  Murtagh', 'Ms. Vesna  Jelesic', 'Mr. Paul Richard Fielding', 'Ms. Robyn  Murphy', 'Mr. Chris  Wignall', 'Ms. Jennifer  Hegarty', 'Mr. Keith  Falconer', 'Mr. Royce  Zygarlicki']"
343,PFT,https://purefoodstas.com,2/179 Murray Street,61 3 6235 5143,"['Mr. Michael William Cooper', 'Phillip  Excell', 'Jonathon  Feil', 'Mr. Justin  Hill']"
344,CMX,https://chemxmaterials.com.au,3 Flindell Street,61 4 2226 6570,"['Mr. Peter  Lee', 'Mr. Stephen Rodney Strubel', 'Dr. Nicholas  Welham BEM, Ph.D.']"
345,FGL,https://www.fruglgroup.com,100 James Street,61 8 6489 1600,"['Mr. Tat Woo  Bng', 'Ms. Robyn  Treyvaud', 'Mr. Alistair  McCall', 'Mr. Steve  Samuel', 'Dr. Neale William Fong AFACHSE, Dip CS, FAICD, M.B.A., MBA, MBBS, MTS']"
346,WML,https://www.woomeramining.com.au,147 Pirie Street,61 8 8232 6201,"['Dr. Ralf  Krieger', 'Mr. Joseph  Fekete FCIS, FCPA', 'Mr. Jonathan W. Lindh L.L.B.']"
347,HMD,https://www.hera-med.com,4 Hazoran Street,,"['Dr. Ronald Peter Weinberger AIMM, BSc (Hons), Ph.D.', 'Mr. David  Groberman', 'Ms. Sivan  Sadan', 'Henry  Jordan', 'Mr. Ariel  Laden', 'Mr. Keith  Koby BSEET, MBA']"
348,CPN,https://www.caspin.com.au,675 Murray Street,61 8 6373 2000,"['Mr. Gregory James Miles B.Sc., BSc', 'Mr. Steven Douglas Wood B.Com, B.Com., BCom., C.A., CA']"
349,EDE,https://www.edeninnovations.com,197 St Georges Terrace,61 8 9282 5889,"['Mr. Gregory Howard Solomon L.L.B., LLB', 'Mr. Jamie M. Scoringe B.Com., CPA', 'Dr. Allan Godsk Larsen']"
350,ENX,https://www.enegex.com,Unit 24,61 8 6153 1861,"['Ms. Raewyn Louise Clark A.C.I.S., ACIS, AGIA, B.Bus(dist), C.A., CA, M.A.I', 'Mr. Graeme Alan Menzies LLB, LLM', 'Mr. Robert John Wright B Bus, CPA, CPA', 'Mr. Alexander James Neuling ACIS, BSc, FCA (ICAEW), FCIS']"
351,TGH,https://www.terragen.com.au,39 Access Crescent,1300 837 724,"['Mr. Miles Richard Brennan', 'Dr. Joss  West', 'Ms. Robyn  Smith', 'Mr. Adam  Davies', 'Dr. Paul  Schober', 'Dr. Karen  Jury', 'Dr. Paul  Scott', 'Mr. Andrew  Wollen']"
352,PPY,https://papyrusaustralia.com.au,2 Peel Street,61 8 7324 1232,"['Mr. Daniel  Schmidt', 'Mr. Pascal  Gouel', 'Mr. Peter  Rostig', 'Mr. Edward Michael Byrt L.L.B., LLB', 'Mr. Vincent Peter Rigano B Acc, B.A., C.P.A., CPA']"
353,BGE,https://bridge.website,"Exchange Tower, 2",61 2 8090 9000,"['Ms. Anna-Marie  Stella', 'Mr. Oyem  Ebinum', 'Mr. Adam  Mercurio', 'Ms. Erlyn  Dawson', 'Ms. Alessandra  Gauvin']"
354,AS2,https://www.askarimetals.com,17 Lacey Street,61 4 0040 8878,"[""Mr. Gino  D'Anna B.Com.""]"
355,MQR,https://www.marqueeresources.com.au,22 Townshend Road,61 8 9388 0051,"['Mr. Charles William Thomas B.Com.', 'Dr. James  Warren B.Sc., Ph.D.', 'Mr. Toby N. J. Hughes', 'Ms. Anna Maria MacKintosh B.Com., CPA']"
356,GRL,https://www.godolphinresources.com.au,Unit 13,61 2 6318 8144,"['Ms. Jeneta  Owens', 'Mr. Ian  Morgan']"
357,MHK,https://www.metalhawk.com.au,18 Kings Park Road,61 8 9226 1022,"['Mr. William  Belbin B.Sc., M.Sc.', 'Mr. David  Pennock', 'Mr. Chris  Marshall B.A., FCIS, L.L.B.']"
358,LSA,https://lachlanstar.com,33 Ord Street,61 8 9226 1524,"['Mr. Daniel John-Edward-Alexander-Durston Smith B.A., BA, CSA(Cert), GIA (Cert), M.A.I.C.D.', 'Mr. Andrew  Tyrrell', 'Gabriel  Urra']"
359,NWM,https://norwestminerals.com.au,7 Ventnor Avenue,61 8 6117 0457,"['Mr. Charles Craig Schaus Aig, Aus iMM, B.Sc.', 'Mr. Oliver  Carton BJuris, L.L.B., LLB']"
360,GSR,https://www.greenstoneresources.com.au,16 Ord Street,61 8 9481 3911,"['Mr. Christopher  Hansen B.Sc., M.Sc.', 'Mr. Glenn  Poole B.Sc., M.B.A.', 'Mr. Matthew  Worner', ""Mr. Thomas  O'Rourke B.Com., C.A., M.Sc.""]"
361,KNO,https://www.knosys.co,31 Queen Street,61 3 9046 9700,"['Mr. John Robert George Thompson B.Eng, M.B.A., MBA', 'Mr. Stephen  Kerr ACA, B.Com., BCom, C.A., C.S., FGIA', 'Mr. Nic  Passmore']"
362,SIV,https://www.sivcapital.com.au,13 Kurilpa Street,61 13 0093 4497,"['Mr. Allan  English A.M.', 'Mr. Damien  Guivarra', 'Mr. Donald Charles Mackenzie']"
363,BUR,https://www.burleyminerals.com.au,30 Richardson Street,61 8 9322 6283,"['Mr. Stewart  McCallion', 'Mr. Kieran  Witt', 'Mr. Gary Raymond Powell']"
364,AYT,https://www.austinmetals.com.au,88 William Street,61 8 9463 4263,"['Mr. Harpreet Singh Cheema B.Com., CPA']"
365,BCA,https://blackcanyon.com.au,283 Rokeby Road,61 8 9426 0666,"['Mr. Brendan  Cummins', 'Mr. James Richard Stephenson C.A., C.M.A., C.P.A., CMA, CMA (Canada), CMA and F']"
366,NME,https://www.nexmetals.com,45 Guthrie Street,61 8 9221 6813,"['Mr. Kenneth Malcolme Allen B.Bus., FAICD, FNTAA, FTIA, PNA']"
367,DVL,https://www.dorsavi.com,11-13 Milgate Street,61 1800 367 728,"['Dr. Andrew James Ronchi B.App.Sci., GAICD, Ph.D.', 'Mr. Daniel Mathew Ronchi Ass.Deg.Law', 'Mr. Aaron  Chan', 'Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA']"
368,MVL,https://marvelgold.com.au,130 Hay Street,61 8 9200 4960,"['Mr. Christopher Philip van Wijk M.Sc.', 'Mr. Christopher Bruce Knee B.Com., BCom, C.A., CA', 'Ms. Joanna Christina Kiernan BA']"
369,SCN,https://www.scorpionminerals.com.au,50 Kings Park Rd,61 8 6241 1877,"['Ms. Kate Briony Stoney CPA', 'Mr. Michael George Fotios B.Sc., MAusIMM', 'Mr. Michael  Langford', 'Mr. Josh  Merriman']"
370,RIE,https://www.riedelresources.com.au,6 Richardson Street,61 8 9226 0085,"['Mr. David  Groombridge M.Sc.', 'Ms. Susan Jane Field ACA, BBus, MAICDCD', 'Ms. Maddison  Cramer', 'Ms. Marie  Forsyth']"
371,ALM,https://www.almametals.com.au,Granite House,61 8 6465 5500,"['Mr. Alasdair Campbell Cooke B.Sc., MAIG', 'Dr. Charles Tabeart Terra Metallica Arsm, B.Sc (Hons), B.Sc., MAIG, Ph.D.', 'Mr. Daniel  Davis B.Com, CPA']"
372,CHW,https://www.chilwaminerals.com.au,17 Ord Street,61 4 3991 9364,"['Mr. Cadell Scott Buss M.B.A.', 'Mr. John Cardigan Lewis C.A.', 'Mr. Dennis William Wilkins B.Bus., AICD, ACIS']"
373,SIT,https://www.site.edu.au,52 Merivale Street,61 7 3114 5188,"['Mr. Craig Anthony Dawson A.C.A., ACA, B.Com., BCom', 'Mr. Vernon Alan Wills', 'Mr. Jason Stuart Anfield M.B.A.']"
374,W2V,https://way2vat.com,34A Ha’Barzel Street,97 2 3508 0022,"['Mr. Amos  Simantov', 'Mr. Evyatar  Cohen', 'Dr. Roy  Shilkrot', 'Ms. Elena  Sorescu', 'Ms. Emily  Austin', 'Ms. Lucy  Rowe', 'Mr. Alex  Alegret']"
375,A3D,https://www.auroralabs3d.com,41-43 Wittenberg Drive,61 8 9434 1934,"['Mr. Grant Jonathan Mooney BBus, C.A., CA', 'Rebekah  Letheby', 'Mr. John  Henry']"
376,ICG,https://www.incaminerals.com.au,16 Nicholson Road,61 8 6263 4738,"['Ms. Emma  Curnow B.Com., C.A.', 'Mr. Tilo  Kroll']"
377,CBL,https://www.controlbionics.com,697 Bourke Road,61 3 9897 3576,"['Mr. Jeremy E. Steele', 'Mr. Peter Shann Ford', 'Mr. Dominik  Kucera', 'Mr. James  Schorey', 'Ms. Meagan  Koeneman', 'Mr. Brett Thomas Crowley B.Com., BCom, C.A., CA, DipLaw']"
378,IGN,https://www.igniteco.com,Office 110,61 1 3004 81179,"['Diego  Agosti', 'Mr. Cameron J. C. Judson BA, MAICD, MBA', 'Mr. Ian McKay Gilmour B.Sc., CA, F.F.A., FAICD, FCIS, FGIA, JP(NSW)']"
379,RCL,https://readcloud.com,126 Church Street,61 3 9078 4833,"['Mr. Andrew  Skelton', 'Mr. Lars Peder Lindstrom', 'Mr. Luke  Murphy', 'Mr. Darren Andrew Hunter', 'Mr. Joshua Luke Fisher M.B.A.']"
380,GDM,https://greatdividemining.com.au,127 Creek Street,61 7 3071 9292,"['Mr. Justin  Haines B.App.Sci., G.Dip.Sci., M.Min.Eng', 'Mr. Lindsay  Marshall', 'Mr. Sonny  Didugu']"
381,LYN,https://www.lycaonresources.com,22 Mount Street,61 8 6188 8181,"['Mr. Thomas Edward Langley', 'Ms. Melanie Jane Ross A.C.I.S., AGIA, B.Com., C.A.']"
382,OAR,https://www.oarresources.com.au,32 Harrogate Street,61 8 6117 4797,"['Mr. Christopher Peter Gale', 'Mr. Paul Richard Stephen B.Comm', 'Mr. Yugi  Gouw', 'Mr. Anthony  Greenaway B.Sc., BSc (Geology)', 'Mr. Ross  Cameron']"
383,AJX,https://www.alexiuminternational.com,350 West Phillips Road,864 254 9923,"['Mr. William Timothy Blackburn', 'Dr. Robert  Brookins B.A., B.Sc., Ph.D.', 'Lisa  Hubka', 'Mr. Mark  Wise', 'Ms. Maja Aleksandra McGuire B.Com., L.L.B.', 'Mr. Scott  Hunter', 'Ms. Jessica  Hutchison', 'Mr. Mark Andrew Licciardo B Bus (Acc), FCIS, FGIA, GAICD, GradDip CSP']"
384,NTL,https://www.newtalisman.co.nz,2b Gibraltar Cres,64 9 303 1893,"['Mr. John Kildare Upperton', 'Ash  Clarke', 'Ms. S. Jane Bell BCom, CA, Dip Diamonds']"
385,IBG,https://ironbark.gl,22 Railway Road,61 8 6146 5325,"['Mr. Michael John Jardine-Hargrave B.Com.', 'Mr. Jonathan David Whyte B.Com, B.Com., C.A., CA']"
386,SI6,https://www.si6metals.com,168 Stirling Highway,61 8 6559 1795,"['Mr. James Lewis Michael Malone B.Com., B.Comm', 'Mr. Johnathon  Busing BBus, C.A., CA']"
387,RMX,https://www.redmountainmining.com.au,23 Railway Road,61 8 6559 1792,['Mr. Mauro  Piccini']
388,KTA,https://www.ktaresources.com,216 St Georges Terrace,61 8 9481 0389,"['Mr. Colin Kenneth Locke', 'Mr. Mark  Major B.Sc., M.B.A.', 'Mr. David Lee Palumbo B.Com., BCom, C.A., CA', 'Mr. David  Nelson']"
389,SHO,https://asx.sportshero.live,36 Prestwick Drive,61 7 5457 0557,"['Mr. Thomas Napong Lapping Tonavanik', 'Mr. Michael  Higginson', 'Ms. Adele  Sim', 'Mr. Chris  Flintoft', 'Mr. Scott  Russell', 'Ms. Fang Hui Chen', 'Mr. Roby  Rizky']"
390,BPM,https://www.bpmminerals.com,10 Outram Street,61 8 6149 7177,"['Mr. Oliver  Judd', 'Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)']"
391,MRZ,https://montroyalres.com,2 Bligh Street,61 2 8651 7800,"['Mr. Peter James Ruse B.Com.', 'Mr. Shaun  Menezes B.Com., L.L.B.']"
392,PRS,https://prospech.com.au,66 Hunter Street,61 2 9300 3333,"['Mr. Jason Michael Beckton B.Sc., BSc (Hons), MAICD, MAIG, MAusIMM, MEconGeol', 'Mr. Peter James Nightingale B.Econ, CA', 'Mr. Richard James Edwards BCom, CPA, FGIA, SA Fin']"
393,ILT,https://iltaniresources.com.au,459 Collins Street,61 3 8630 3321,"['Mr. Donald  Garner B.Sc., BSc (Hons), FGS, M.Sc., MAusIMM, MSc, MSEG', 'Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA']"
394,RFA,https://www.rarefoodsaustralia.com.au,Lot 331 Augusta Boat Harbour,61 8 6181 8888,"['Mr. Robert  Jorden', 'Mr. Brent  Stockden B.Com., CPA', 'Mr. Bradley  Adams B.Sc., M.B.A.']"
395,LPE,https://localityenergy.com.au,8 Market Lane,61 1800 040 168,"['Mr. Justin  Pettett', 'Mr. Damien Ian Glanville', 'Ms. Elissa  Hansen']"
396,AHK,https://www.arkmines.com,MLC Centre,61 2 9232 5444,"['Mr. Roger Alan Jackson A, AICD, BSc (geology), Dip Ed., Grad Dip, MAusIMM', 'Mr. Ian Keith White BBus, CIA, FCPA, GradDip CsP, JP, M.B.A., MBA', 'Mr. Benjamin P. Emery', 'Mr. Ian Burnham Mitchell BA']"
397,NIS,https://nickelsearch.com,92 Walters Drive,61 8 6184 4983,"['Ms. Nicole  Duncan B.A., BA (HONS), FCIS, FGIA, L.L.B., MAICD', 'Ms. Suzie Jayne Foreman B.Com (Hons), B.Com., C.A., CA']"
398,LDR,https://www.loderesources.com,1 Margaret Street,61 2 9008 1381,"['Mr. Andrew M. Van Heyst', 'Mr. Edward Jan Leschke BAppScApp Geo', 'Mr. Marcelo  Mora ACIS, B.Bus Aasa']"
399,COY,https://coppermoly.com.au,"Unit 18, 180 Moggill Road",61 7 3217 7544,"['Dr. Wanfu  Huang B.Sc., M.Sc., Ph.D.', 'Mr. Craig John McPherson B.Com, B.Com., CA']"
400,PAT,https://www.patriot-lithium.com,245 Churchill Avenue,61 8 9322 7600,"['Mr. Nicholas Crowley Vickery', 'Dr. Oliver Pierre Kreuzer M.A.I.C.D., Ph.D.', ""Mr. Cameron  O'Brien"", 'Mr. David Michael Johnson GDipAppFin, M.Sc., MAIG', 'Mr. Chris  Hilbrands']"
401,THR,https://thorenergyplc.com,Salisbury House,,"['Ms. Nicole Galloway Warland B.Sc.', 'Mr. Raymond Robert Ridge B.A., BA (Acc), C.A., CA, GIA (cert)', 'Mr. Stephen Frank Ronaldson']"
402,LHM,https://www.landnhomesgroup.com,112 Barry Parade,61 7 3905 5658,"['Mr. Andrew John Draffin B.Bus, B.Com., CA']"
403,HIQ,https://hitiq.com,9-17 Raglan Street,61 4 7803 8567,"['Mr. Glenn  Smith BA Econ MBA', 'Mr. David  Erikson', 'Mr. Thomas  Laudenbach', 'Mr. Damien Peter Hawes']"
404,TRI,https://trivarx.com,647 Beaufort Street,61 8 6189 1155,"['Mr. Kai  Sun', 'Mr. Josh  Purdy', 'Mr. Archie  Defillo M.D.', 'Mr. Massimiliano  Grassi', 'Mr. Stephen  Buckley']"
405,NRZ,https://neurizer.com.au,19 Grenfell Street,61 8 8132 9100,"['Mr. Daniel Justyn Douglas Peters B.A., L.L.B., LLB', 'Mr. Cristian  Bolda', 'Mr. Peter James Watson LLB (Hons)', 'Ms. Jordan E. Mehrtens B.Com., L.L.B.']"
406,ICU,https://www.birfinancial.com.au,Level 19,1300 429 203,"['Mr. Jody  Elliss', 'Mr. Gregory Barry Starr BBUS, C.P.A., CPA, FACCD, MAICD', 'Ms. Domenica  Zellweger']"
407,DM1,https://www.desertmetals.com.au,389 Oxford Street,61 8 9758 1333,"['Dr. Robert Angus Castle Stuart', 'Mr. Antony William Worth BSc']"
408,FXG,https://www.felixgold.com.au,371 Queen Street,61 7 3054 7108,"['Mr. Craig John McPherson B.Com, B.Com., CA', 'Mr. Joseph Peter Webb', 'Ms. Rebecca  Gower']"
409,MEL,https://www.metgasco.com.au,30 Richardson Street,61 8 6245 0060,"['Mr. Ken J. Aitken BSc, MICD', 'Mr. Harpreet Singh Cheema B.Com., CPA']"
410,DTI,https://www.dti.com.au,31 Affleck Road,61 8 9479 1195,"['Mr. Matthew  Strack', 'Mr. David  Hood', 'Mr. Harry  Miller', 'Mr. Justin  Dyer', 'Brett  Baxendale', 'Avinash  Khoosal', 'Chris  Bailye', 'Richard  Orchard']"
411,WWG,https://www.wiseway.com.au,39-43 Warren Avenue,61 2 9790 7888,"['Mr. Shigang  Tong', 'Ms. Yanli  Tong', 'Mr. Simon  Yuen', 'Mr. Ken  Tong', 'Mr. Jonathan  Qiao']"
412,FG1,https://flynngold.com.au,96-100 Albert Road,61 3 9692 7222,"['Mr. Neil Andrew Marston B.Com., Fcis, Fgia, M.A.I.C.D.', 'Mr. Samuel James Melville Garrett', 'Mr. Sean  Westbrook', 'Mr. Mathew  Watkins C.A.']"
413,LU7,https://www.lithiumuniverse.com,1265 Nepean Hwy,61 3 8521 0600,"['Mr. Gernot Kurt Abl', 'Mr. Alexander  Hanly', 'Mr. John Adam Sobolewski B.Comm, CA, GAICD', 'Mr. Sean  May', 'Mr. Terry Allen Stark', 'Mr. Roger  Pover', 'Mr. John  Loxton', 'Mr. Vincent John Paul Fayad', 'Mr. Kurt  Laney B.Com., C.A.']"
414,CPO,https://www.culpeominerals.com.au,c/- Source Services,61 8 6311 9160,"['Mr. Maxwell Donald Tuesley B.Sc.', 'Mr. Graeme  Morissey', 'Ms. Sarah  Wilson']"
415,CDT,https://www.castleminerals.com,11 Ventnor Avenue,61 8 9322 7018,"['Mr. Stephen  Stone B.Sc., BSc (Hons), MAusIMM, FAICD', 'Ms. Jade  Styants B.Com., C.A., FCIS']"
416,MTM,https://www.mtmcriticalmetals.com.au,38 Colin Street,61 8 6391 0112,"['Mr. Lachlan John Reynolds B.Sc. (Hons), MAIG, MAusIMM', 'Mr. Simon Charles Bunbury Adams A.C.I.S., A.I.C.D, AGIA, B.Bus, B.Com., M.Acc']"
417,SGC,https://www.sacgasco.com,OCTO Building,61 8 9388 2654,"['Mr. Gary J. Jeffery B.Sc. (Hons), MAICD', 'Mr. John Lloyd Kane Marshall BCom, BSc (Geology), MPetEng', 'Mr. David Maxwell  McArthur B.Comm.', 'Mr. Jordan  McArthur']"
418,ZGL,https://www.zicomgroup.com,38 Goodman Place,61 7 3908 6088,"['Mr. Lak Sim  Giok CPA, FCPA', 'Mr. Yew Sim  Kok B.Sc., BSc, EEE (Hons)', 'Ms. Bee Chun  Lim FCCA', 'Mr. Hung Seah  Tang', 'Mr. Juat Lim  Sim', 'Rashed  Choudhury', 'Mr. Gary  Webster']"
419,MM1,https://www.midasminerals.com,Level 2,61 8 6383 6595,"['Mr. Mark Andrew Calderwood MAusIMM', 'Mr. Carl Domenic Travaglini C.A., C.S.', 'Ms. Maddison  Cramer']"
420,MBK,https://metalbank.com.au,50 Clarence Street,61 2 9078 7669,"['Ms. Ines Louise Scotland B App Sc', 'Ms. Sue-Ann  Higgins ACIS, AGIA, B.A., BA, GAICD, L.L.B., LLB (Hons)', 'Mr. Guy Adrian Robertson B.Com., B.Comm(Hons.), CA, MAICD', 'Mr. Trevor Dean Wright']"
421,RCR,https://www.rinconresources.com.au,295 Rokeby Road,61 8 6555 2950,"['Mr. David Anthony Lenigas', 'Mr. Gary  Harvey', 'Mr. Zane Robert Lewis B.Comm', 'Mr. Yew Thai Goh']"
422,TRM,https://www.truscottmining.com.au,13 Hillway,61 4 1995 6232,"['Mr. Peter Neil Smith B.Sc., BSc (Min), CP, M Min Tech, MAICD, PG Dip', 'Mr. Michael Jarvis Povey B.Bus, CA, FTIA', 'Dr. Ewan Edward Smith B.Com, B.Com., B.Sc., BSc, MBBS']"
423,RGL,https://www.riversgold.com.au,513 Hay Street,61 8 6143 6747,"['Mr. David Anthony Lenigas', 'Ms. Oonagh Jane Malone']"
424,RLF,https://www.rlfagtech.com,1/61 Dowd Street,61 8 9334 8700,"['Mr. Kenneth  Hancock', 'Ms. Su-Mei  Sain', 'Dr. Shen  Lu Ph.D.', 'Mr. Gavin Neil Ball', 'Dr. Hooshang  Nassery B.Sc., M.Sc., Ph.D.', 'Dr. Carl  Urbani B.Sc., Ph.D.', 'Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)']"
425,AML,https://www.aeonmetals.com.au,126 Phillip Street,61 7 5574 3830,"['Dr. Frederick  Hess BSc Chemistry, MAusIMM', 'Mr. Peter  Moorhouse', 'Ms. Lucy  Rowe']"
426,RNE,https://www.renuenergy.com.au,Corporate House,61 7 2102 3654,"['Mr. Boyd  White B Bus (Acc), FCPA, M.B.A., MBA', 'Mr. Greg  Watson B.Com., C.A., L.L.B.', 'Mr. Geoffrey Charles Drucker CPA', 'Ms. Inge  Drucker']"
427,ESR,https://www.estrellaresources.com.au,216 St Georges Terrace,61 8 9481 0389,"['Mr. Christopher John Daws BASc, MAICD, SA Fin', 'Mr. Steve  Warriner', 'Mr. Stephen Michael Brockhurst BComm, CA', 'Mr. Benjamin  Smith', 'Mr. Luke  Marshall']"
428,MAG,https://magmaticresources.com,55 Hampden Road,61 8 9322 6009,"['Mr. David John Richardson B, B.Com., comm; MBA', 'Dr. Adam R. McKinnon B.Sc., Ph.D.', 'Mr. Michael  Franklin', 'Mr. David Wallace Berrie B.Juris, L.L.B., LLB', 'Mr. Steven  Oxenburgh M.Sc.', 'Ms. Andrea S. Betti AGIA, B.Com., C.A., M.B.A.']"
429,BMG,https://www.bmgl.com.au,225 St Georges Terrace,61 8 9424 9390,"['Mr. Ben  Pollard', 'Mr. Sean  Meakin AGIA, C.A.']"
430,SHE,https://www.stonehorseenergy.com,182 Claisebrook Road,61 8 6489 1600,"['Mr. Robert Charles Gardner', 'Mr. David Ross DeLoub B.A., B.Ec (Hons), BA, G.Dip.FINSIA, Grad Dip Bus', 'Mr. James Richard Stephenson C.A., C.M.A., C.P.A., CMA, CMA (Canada), CMA and F']"
431,TX3,https://trinexminerals.com.au,128 Churchill Avenue,61 8 6166 0255,"['Mr. William Robert Dix B.Sc., BSc, M.Sc., MSc (Geology)', 'Ms. Su-Mei  Sain', 'Ms. Kelly  Migro', 'Mr. Kevin Ronald Hart B.Com., B.Comm (Hons), C.A., F.C.A.']"
432,HFY,https://www.hubify.com.au,65 Epping Road,61 2 9003 9573,"['Mr. Victor George Tsaccounis', 'Mr. Nick  Fitzgerald', 'John  Martin', 'Mr. Daman  Storkey', 'Jonathan David Perrin']"
433,SBR,https://sabresources.com,8 Parliament Place,61 8 9481 7833,"['Mr. Lawrence Jonathon Dugdale B.Sc., BSc (Hons 1), FAUSIMM, MAICD', 'Mr. Michael  Muhling B.Com., FCPA', 'Mr. Martin  Bennett']"
434,ICE,https://www.icetana.com,152 St Georges Terrace,61 8 6282 2811,"['Mr. Kevin  Brown', 'Mr. Rafael  Kimberley-Bowen', 'Matt  James']"
435,SLS,https://www.solsticeminerals.com.au,513 Hay Street,61 8 9381 9997,"['Mr. David Nicholas Castleden B.Sc., BSc (Hons)', 'Ms. Silfia  Morton B.Com., C.A.', 'Dr. Mark  Alvin', 'Mr. John  McIntyre B.Sc.', 'Mr. James  Doyle']"
436,OPN,https://www.openn.com,4 Stirling Road,61 1 800 667 366,"['Mr. Peter John Gibbons', 'Mr. Darren Michael Bromley B.Bus (Fin)', 'Mr. Sean  Adomeit']"
437,X2M,https://x2mconnect.com,Building B,1800 926 926,"['Mr. Mohan C. Jesudason', 'Mr. Keith  Jelley', 'Mr. Steve  Fang', 'Mr. Yongsun  Kim', 'Mr. Oliver  Carton BJuris, L.L.B., LLB']"
438,APL,https://www.associateglobal.com,10 Spring Street,61 1300 052 054,"['Mr. Martin Francis Switzer B.E.', 'Mr. Ben  Meakin', 'Mr. Adam  Camillo', 'Ms. Nicole  Aubrey', 'Mr. Mark Andrew Licciardo B Bus (Acc), FCIS, FGIA, GAICD, GradDip CSP', 'Joshita  Kumar']"
439,SW1,https://www.swiftnetworks.com.au,1060 Hay Street,61 8 6103 7595,"['Mr. Brian Francis Mangano BBus, CA, FCIS', 'Mr. Ryan  Sofoulis', 'Kirsty  Davison', 'Mr. Rob  Barton', 'Ms. Suzie Jayne Foreman B.Com (Hons), B.Com., C.A., CA', 'Mr. Lee Joseph Hunter']"
440,UCM,https://www.uscom.com.au,66 Clarence Street,61 2 9247 4144,"['Dr. Robert Allan Phillips AMS, DMU, FASE, FIR, MPhil (Med), Ph.D.(Med)', 'Mr. Brett Thomas Crowley B.Com., BCom, C.A., CA, DipLaw', 'Mr. Nicholas  Schicht']"
