,Code,Website,Address,Phone,City,State,Zip,Country,Director1,Director2,Director3,Director4,Director5,Director6,Director7,Director8,Director9,Director10,Director11,Director12,Director13,Director14,Director15,Director16,Director17,Director18,Director19,Director20
243,CL8,https://investors.carly.co,189 Kent Street; Suite 3 Level 7,61 2 8889 3641,Sydney,NSW,2000,Australia,Mr. Chris  Noone,Mr. Nathan  Gyaneshwar,Mr. Michael  Mobilia,Benjamin  Hershman,Mr. Max  Crowley,,,,,,,,,,,,,,,
244,SCL,https://schrolegroup.com,142 Hasler Road; First Floor,61 8 9230 7000,Osborne Park,WA,6017,Australia,Mr. Robert  Graham,Mr. Peter  Liddell,Mr. Aaron  Collyer,Ms. Diana  Shepherd,Mr. Jack  Rosagro,,,,,,,,,,,,,,,
245,SNX,https://www.sngold.com.au,96-100 Albert Road; Level 4 South Melbourne,61 3 9692 7222,Melbourne,VIC,3205,Australia,"Mr. Peter  Moore B.A., L.L.B.","Mr. Brett  Butlin B.Sc., M.Sc.","Mr. Anthony  Panther A.C.I.S., ACIS, AGIA, B. Ec, B.E., C.A., CA, FDN",,,,,,,,,,,,,,,,,
246,NFL,https://www.norfolkmetals.com.au,85-87 Forrest Street; Unit 10,61 8 6255 8625,Cottesloe,WA,6011,Australia,Mr. Ben Edwards Phillips,Mr. Arron  Canicais,,,,,,,,,,,,,,,,,,
247,MCL,https://www.mightycraft.com.au,26 Cato Street,61 3 9811 9974,Hawthorn East,VIC,3123,Australia,Ms. Katie  McNamara,Ms. Jess  Lyons,,,,,,,,,,,,,,,,,,
248,R3D,https://www.r3dresources.com.au,169 Blues Point Road; McMahons Point,61 2 9392 8032,Sydney,NSW,2060,Australia,Dr. Stephen Bruce Bartrop Ph.D.,"Mr. Bruce J. Hills B.Com., C.A.",Mr. Sonny  Didugu,,,,,,,,,,,,,,,,,
249,AYM,https://australiaunitedmining.com.au,"7 Railway Street; Suite 502, Level 5",61 2 9252 4525,Chatswood,NSW,2067,Australia,Mr. Xiao Jing Wang,"Ms. Xuekun  Li A.C.I.S., ACCA, ACIS",,,,,,,,,,,,,,,,,,
250,WEC,https://www.whiteenergyco.com,"Lobby 1, 76 Skyring Terrace; Level 2",61 7 3229 9035,Newstead,QLD,4006,Australia,Mr. Allan  McCarthy,Mr. Greg  Sheahan,"Mr. David James Franks BEc, C.A., F Fin, J.P.",,,,,,,,,,,,,,,,,
251,ERL,https://www.resourcesempire.com.au,159 Stirling Highway,61 8 6389 1032,Nedlands,WA,6009,Australia,"Mr. Sean David Richardson M.B.A., M.Sc.",Mr. David  Ross M.Aus.I.M.M.,Ms. Bianca  Taveira,,,,,,,,,,,,,,,,,
252,EAX,https://energyaction.com.au,56 Station Street; Level 5,61 2 9633 6451,Parramatta,NSW,2150,Australia,Mr. Bruce Duncan Macfarlane,Mr. Clint  Irving,Mr. Edward  Hanna,Mr. Gregory  Tamvakellis,Mr. Tony  Giannikos,Mr. Dray  Andrea,,,,,,,,,,,,,,
253,LYK,https://www.lykosmetals.com,Central Park; Level 48 152-158 St Georges terrace,61 8 9480 2500,Perth,WA,6000,Australia,Mr. Milos  Bosnjakovic L.L.B.,Mr. Aleksander  Kostic,"Mr. Craig  McNab BMS, C.A.",,,,,,,,,,,,,,,,,
254,T88,https://www.taiton.com.au,200 Queen Street; Level 13,61 2 8648 6431,Melbourne,VIC,3000,Australia,Mr. Kok Jin Ong B.Sc.,Mr. Kah Hui  Tan,"Mr. Chee Cheong  Low BECON, C.P.A.",Mr. Shane  Tomlinson,"Mr. Ian Edward Gregory B.Bus, F Fin, FCIS, FGIA, M.A.I.C.D.",,,,,,,,,,,,,,,
255,HVY,https://www.heavyminerals.com,106 Robinson Avenue; Unit 2,,Belmont,WA,6104,Australia,Mr. Andrew  Taplin,"Mr. Stephen Michael Brockhurst BComm, CA",,,,,,,,,,,,,,,,,,
256,PL3,https://www.patagonialithium.com.au,Level 6; 505 Little Collins Street,300 666 777,Melbourne,VIC,3000,Australia,"Mr. Phillip Revelle Thomas BSc (geology), CMV, MAIG, MAIMVA, MBus, MBusM, MCI","Mr. Jaroslaw Krzysztof Kopias ACIS, ACSA, AGIA, B.Com., BCom, C.S., CGP, CPA",,,,,,,,,,,,,,,,,,
257,NGL,https://www.nightingalesecurity.com,8450 Central Avenue,408-909-7227,Newark,CA,94560,United States,Mr. Jack  Wu,Mr. John  Hsu Ph.D.,Mr. Michael J. Tschiderer,,,,,,,,,,,,,,,,,
258,SRI,https://www.sipa.com.au,"Unit 5, Subiaco Court; 1st Floor 12-20 Railway Road",61 8 9388 1551,Subiaco,WA,6008,Australia,Mr. Andrew  Muir B.Sc.,Mr. Peter  Neumayr,"Mr. Greg William Fitzgerald B.Bus, C.A.",,,,,,,,,,,,,,,,,
259,A8G,https://australasiangold.com,"123B Colin Street; Level 5, Unit 34",61 8 6507 3082,West Perth,WA,6005,Australia,Dr. Qingtao  Zeng Ph.D.,"Mr. Daniel John-Edward-Alexander-Durston Smith B.A., BA, CSA(Cert), GIA (Cert), M.A.I.C.D.","Mr. Chik Ong  Chen ACIS, ACSA, B.Com., BCom, FCIS, GradDipAppFin, M.B",,,,,,,,,,,,,,,,,
260,CAQ,https://www.caqholdings.com,Central Plaza; 66th Floor 18 Harbour Road,852 2511 6016,Wan Chai,,,Hong Kong,Mr. Chung  Ching,Mr. Mark William Maine,,,,,,,,,,,,,,,,,,
261,AUA,https://www.audeara.com,Level 1; 527 Gregory Terrace North Tower,61 13 0025 1539,Fortitude Valley,QLD,4006,Australia,Dr. James  Fielding,Mr. Hsin-Chieh  Peng,Mr. John  Krajewski,Mr. Stephen  Buckley,,,,,,,,,,,,,,,,
262,PEC,https://www.perpetualresourceslimited.com.au,64-68 Hay Street; Unit 2,61 4 3318 0967,Subiaco,WA,6008,Australia,Mr. Julian Michael Babarczy,Mr. Robert John  Benussi MIPA,Mr. Nicholas  Katris,,,,,,,,,,,,,,,,,
263,AXP,https://www.fremontpetroleum.com,One Summit Square; Suite 201 120 Prosperous Place,859 263 3948,Lexington,KY,40509,United States,Mr. Timothy Brian Hart,Mr. Bradley  Mervis,Mr. Greg  Grotke,"Mr. Robert Edward Lees A.C.I.S., AGIA, B. Bus. (UTS), C.A., CA, Grad.Dip.",,,,,,,,,,,,,,,,
264,HYD,https://www.hydrix.com,30-32 Compark Circuit,61 3 9550 8100,Mulgrave,VIC,3170,Australia,Mr. Gavin  Coote,Mr. Gareth  Evans,"Ms. Alyn  Tai L.L.B., LLB (Hons)",Mr. Alan  Morris,Robert  Brierley,Dr. John  Bumgarner,Mr. Peter R. Lewis A.M.,Mr. Paul  Kelly,"Dr. Stewart James Washer B.Sc., BSc (Hons), Ph.D.",,,,,,,,,,,
265,BMM,https://www.balkanmin.com,108 St Georges Terrace; Level 50,61 8 6109 6684,Perth,WA,6000,Australia,Mr. Ross  Cotton,Mr. Simon  Acomb,Mr. Dejan  Jovanovic,Ms. Valerie  Pascale,"Ms. Melanie Jane Ross A.C.I.S., AGIA, B.Com., C.A.",,,,,,,,,,,,,,,
266,CTQ,https://www.careteq.com.au,525 Flinders Street; Level 8,61 3 8866 5594,Melbourne,VIC,3000,Australia,"Mr. Mark Anthony Simari B.Acc, Dip FS",Mr. Alexander  Boyd,Mr. David  Lilja M.B.A.,,,,,,,,,,,,,,,,,
267,NSB,https://www.neuroscientific.com,85 Forrest Street; Suite 5,61 8 6382 1805,Cottesloe,WA,6011,Australia,"Ms. Abby  Macnish Niven B.Com., B.Sc., C.F.A.",Dougal  Thring,,,,,,,,,,,,,,,,,,
268,AER,https://www.aeeris.com,21 Longboard Circuit; PO Box 1915,61 2 6674 2711,Kingscliff,NSW,2487,Australia,Mr. Kerry Maurice Plowright,"Ms. Elissa C. Hansen ACSA, B.Com., B.Comm, FCIS, Gad Dip ACG, GAI, GAIC",Danielle  Parsons,Mr. James  Harris,Kathryn  Turner,Mr. Matt  Pearce,,,,,,,,,,,,,,
269,REZ,https://rezgroup.com.au,66 Hunter Street; Suite 301 Level 3,61 2 9227 8900,Sydney,NSW,2000,Australia,Mr. John Daniel Moore BEcon/LLB,"Mr. Warren  Kember B.Com., CA, M.B.A., MBA","Mr. Richard J. Poole B. Juris, LLB, B. Comm. ASIA",Mr. Michael  Johnstone,,,,,,,,,,,,,,,,
270,NTM,https://ntminerals.com.au,589 Hay Street; Ground Floor,61 8 9362 9888,Jolimont,WA,6014,Australia,Mr. Malcolm  James,Mr. Rodney Grant Illingworth,"Ms. Melanie Jane Ross A.C.I.S., AGIA, B.Com., C.A.",Brent  Simpson,,,,,,,,,,,,,,,,
271,ID8,https://www.identitii.com,388 George Street; Level Mezzanine,61 2 9056 4160,Sydney,NSW,2000,Australia,Mr. John  Rayment,Ms. Rebecca Shooter Dodd,Mr. Tim  Dickinson,Michael  Kotowicz,"Ms. Elissa C. Hansen ACSA, B.Com., B.Comm, FCIS, Gad Dip ACG, GAI, GAIC",,,,,,,,,,,,,,,
272,1AG,https://alterra.com.au,150 St Georges Terrace; Level 3,61 8 9204 8400,Perth,WA,6000,Australia,Mr. Gregory  Harvey,Mr. Oliver William Hunter Barnes B.Sc.,Mr. Steve  Ledger,,,,,,,,,,,,,,,,,
273,GR8,https://www.greatdirt.com.au,216 St Georges Terrace; Level 4,61 8 6268 2688,Perth,WA,6000,Australia,"Mr. Jeremy Sean Whybrow B.Sc, B.Sc., G.Dip, MAusIMM",Mr. Martin Ross Helean,"Mr. Kerry  Griffin B.Sc., Bsc (Geol), Dip Eng Geol, MAIG","Mr. Christopher  Achurch B.Com., C.A.",,,,,,,,,,,,,,,,
274,E79,https://e79gold.com.au,168 Stirling Highway; First Floor,61 8 9287 7625,Nedlands,WA,6009,Australia,"Mr. Edward  Summerhayes B.Sc., M.Sc.","Ms. Amanda  Sparks B.Bus, C.A., CA, F.Fin",,,,,,,,,,,,,,,,,,
275,CZN,https://corazon.com.au,33 Ord Street; Level 3,61 8 6364 0518,West Perth,WA,6005,Australia,"Mr. Brett Sidney Smith B.Sc., BSc (Hons), M.A.I.C.D., MAICD, MAIG, MAusIM","Mr. Robert  Orr B Bus Acc, C.A., CA",,,,,,,,,,,,,,,,,,
276,IXC,https://www.invextherapeutics.com,38 Rowland Street; Level 2 Subiaco,61 8 6382 0137,Perth,WA,6008,Australia,"Ms. Narelle  Warren B.Com., L.L.B., B.Com, LLB",Ms. Carol  Parish,"Dr. Thomas  Duthy M.B.A., Ph.D.",,,,,,,,,,,,,,,,,
277,KCC,https://kincoracopper.com,837 West Hastings Street; Suite 400,604-283-1722,Vancouver,BC,V6C 3N6,Canada,"Mr. Jonathan  Spring C.F.A., CA","Ms. Yuying  Liang B.A., CPA","Mr. David J. Cowan L.L.B., LL.B.",Mr. Peter  Leaman,Mr. Molor  Erdenebat,,,,,,,,,,,,,,,
278,M4M,https://www.kogiiron.com,460 Stirling Highway; Suite 38,61 3 9692 7222,Peppermint Grove,WA,6011,Australia,Mr. Stefan  Ross,,,,,,,,,,,,,,,,,,,
279,1CG,https://oneclicklife.com.au,Suite 1/57 Forrest St,61 1 3007 07117,Subiaco,WA,6008,Australia,"Mr. Mark  Waller B.Com., CPA, FCPA",Mr. Nathan  Kerr,"Ms. Erlyn Saromines Dawson A.C.I.S., ACIS, AGIA, B.Com., BCom., GradDipACG",,,,,,,,,,,,,,,,,
280,OSX,https://www.osteopore.com,2 Tukang Innovation Grove; No. 09-06/07 MedTech Hub JTC MedTech Hub,,Singapore,,618305,Singapore,Mr. Kei Wei  Leong,Dr. Jing  Lim,Mr. Khoon Seng  Goh,Ms. Shu Ning Voon,Ms. Kellie  Davis,,,,,,,,,,,,,,,
281,AUH,https://austchinaholdings.com,344 Queen Street; Level 7,61 7 3229 6606,Brisbane,QLD,4000,Australia,Mr. Andrew  Fogg,"Ms. Suzanne Margaret Yeates B.Bus, C.A.",,,,,,,,,,,,,,,,,,
282,ODE,https://www.odessaminerals.com.au,295 Rokeby Road; Suite 1,61 8 6555 2950,Perth,WA,6008,Australia,Mr. David Anthony Lenigas,Mr. Robert  Featherby,,,,,,,,,,,,,,,,,,
283,AAP,https://www.voopl.com.au,456 St Kilda Road; Suite 19,61 4 1700 1446,Melbourne,VIC,3004,Australia,Mr. Paul Robert Challis,Mr. Adrian  Teo,,,,,,,,,,,,,,,,,,
284,BHD,https://bhdlimited.com.au,171 Clarence Street; Level 10,61 2 8117 8123,Sydney,NSW,2000,Australia,Mr. Michael  Glennon,,,,,,,,,,,,,,,,,,,
285,OD6,https://www.od6metals.com.au,50 Kings Park Road; Level 1,61 8 6189 8515,West Perth,WA,6005,Australia,"Mr. Brett William Hazelden B.Sc., GAICD, MBA",Mr. Troy  Cavanagh,Mr. Timothy  Jones,"Mr. Joel  Ives B.A., B.Com., B.Sc., C.A., CA",,,,,,,,,,,,,,,,
286,EXL,https://www.elixinolwellness.com,680 George Street; Level 12,61 2 8280 7355,Sydney,NSW,2000,Australia,"Mr. Ronald  Dufficy BEC, FCPA",Ms. Josephine  Lorenz,Glen  Zurcher,Mr. Rob  Hasselman,Ms. Beata  Silber,"Ms. Sarah  Prince ACIS, BA, GrdDipCorpGov, LLB",,,,,,,,,,,,,,
287,TAR,https://tarugaminerals.com.au,99 St Georges Terrace; Level 8,61 8 9486 4036,Perth,WA,6000,Australia,"Ms. Sheena  Eckhof B.Com, B.Com.",Mr. Jamie  Anderson,"Mr. Daniel John-Edward-Alexander-Durston Smith B.A., BA, CSA(Cert), GIA (Cert), M.A.I.C.D.",,,,,,,,,,,,,,,,,
288,GBZ,https://www.gbmr.com.au,"303 Coronation Drive; Level 5, Suite 502",61 4 9323 9674,Milton,QLD,4064,Australia,Mr. Peter  Rohner B.Sc.,"Mr. Kevin Ronald Hart B.Com., B.Comm (Hons), C.A., F.C.A.",Mr. Tom  Cooney,"Mr. Daniel  Travers B.Sc (Hons), B.Sc., FCCA",,,,,,,,,,,,,,,,
289,XST,https://www.xstateresources.com.au,31 Cliff Street; Level 1,61 8 9435 3200,Fremantle,WA,6160,Australia,Mr. Andrew Ross Childs B.Sc.,Mr. David Maxwell  McArthur B.Comm.,Mr. Jordan  McArthur,,,,,,,,,,,,,,,,,
290,AN1,https://anagenics.com,55 Clarence Street; Suite 204 Level 2,61 2 9221 6830,Sydney,NSW,2000,Australia,Mr. Scott Mitchell Greasley,Mr. Matthew  Dudek,Mr. Dominic  Burg,Dr. Graham  Robertson,,,,,,,,,,,,,,,,
291,ADS,https://www.adslot.com,419 Collins Street; Level 2,61 3 8695 9100,Melbourne,VIC,3000,Australia,Mr. Benjamin  Dixon,Mr. Andrew John Barlow,Mr. Thomas Arnold Triscari,Mr. Tom  Peacock,Mr. Rob  Jones,Mr. Robyn  Parker,Ms. Charmagne  Jacobs,Mr. Cary  Dunst,Mr. Fernando  Tinoco,Mr. Mark  Licciardo,,,,,,,,,,
292,LNR,https://www.lanthanein.com,99 St Georges Terrace; Level 8,61 8 9486 4036,Perth,WA,6000,Australia,"Mr. Brian David Thomas B.Sc., BSc, M.A.I.C.D., M.B.A., MAICD, MAusIMM, MB",Mr. Benjamin John Bussell B.Bus,"Mr. Matthew  Foy A.C.I.S., ACIS, AGIA, BCom, FCIS, GradDipACG, SAFi",,,,,,,,,,,,,,,,,
293,AKN,https://www.aukingmining.com,127 Creek Street; Suite 2208 Level 22,61 7 3535 1208,Brisbane,QLD,4000,Australia,Mr. Asimwe Matungwa Herman Kabunga,"Mr. Paul Robert Williams BA., LLB","Mr. Jonathan Paul Kershaw Marshall A.C.A., C.A., Grad.Dip., L.L.B.",Mr. Kevin  Kartun,Mr. Chris  Bittar,,,,,,,,,,,,,,,
294,TEE,https://www.topendenergy.com.au,10 Outram Street; Level 2,61 8 6245 9836,West Perth,WA,6005,Australia,Mr. Oliver  Oxenbridge B.A.,Mr. Gregory Jonathan Lee,Ms. Michelle  Kennedy,Mr. Marshall  Hood,Ms. Kelly  Moore,,,,,,,,,,,,,,,
295,EG1,https://evergreenlithium.com.au,9-11 Claremont Street; Suite 205,1300 288 664,South Yarra,VIC,3141,Australia,Mr. Jason Thomas Ward,Mr. Luke  Manos B.Com.,"Mr. Paul  Dunbar B.Sc., M.Sc.","Mr. David James Franks BEc, C.A., F Fin, J.P.",,,,,,,,,,,,,,,,
296,LVT,https://livetilesglobal.com,60 Margaret Street; Level 22,61 2 9053 1093,Sydney,ACT,2000,Australia,Mr. David  Vander,Mr. Karl  Redenbach,,,,,,,,,,,,,,,,,,
297,OZZ,https://www.ozzresources.com.au,101 St Georges Terrace; Level 3,61 8 6558 0886,Perth,WA,6000,Australia,Mr. Timothy Ryan Slate,Ms. Carla  Healy,,,,,,,,,,,,,,,,,,
298,DYM,https://www.dynamicmetals.com.au,33 Richardson Street; Level 1,61 8 6558 0637,West Perth,WA,6005,Australia,"Ms. Karen  Wellman B.Com., B.Sc.",Mr. Jimmy  Thorn,"Ms. Nerida Lee Schmidt A.C.I.S., ACIS, B.Com., BCom, C.P.A., CPA, F.Fin",,,,,,,,,,,,,,,,,
299,MPR,https://www.mpower.com.au,15 Bourke Road; Level 4,61 2 8788 4600,Sydney,NSW,2020,Australia,"Mr. Peter Harry Wise A.M., Dip ID","Mr. Nathan  Wise BCom, LLM (UNSW)",Mr. Ryan  Scott,Mr. Neil Andrew Langridge,Ms. Margaret  Fittler,Mr. Billy  Lavery,,,,,,,,,,,,,,
300,IPC,https://www.imperialpacific.com.au,111 Harrington Street; Suite 212 Level 2,61 2 9247 9315,Sydney,NSW,2000,Australia,"Mr. Peter E. J. Murray B.A., BA, F.C.A., FCA, SA Finsia","Mr. Louis J. Joseph B.Com., BComm",,,,,,,,,,,,,,,,,,
301,TD1,https://www.talidigital.com.au,697 Burke Road; Suite 201,61 3 9192 9937,Camberwell,VIC,3124,Australia,"Ms. Magda  Klapakis BSocSc, CPA, PostGradAcc",Mr. Pete  Saunders,Paul  McKeon,Mr. David  Turnbull,Mr. Lee  Simpson,"Mr. Tim  Luscombe B.Com., C.A.",Mr. M.  Rose,,,,,,,,,,,,,
302,A1G,https://www.african-gold.com,513 Hay Street; Level 1 Suite 23,61 8 6143 6749,Subiaco,WA,6008,Australia,Mr. Phillip  Gallagher,Ms. Oonagh  Malone,,,,,,,,,,,,,,,,,,
303,DCX,https://www.discovexresources.com.au,"72 Kings Park Road; Unit 1, Ground Floor",61 8 9380 9440,West Perth,WA,6005,Australia,Mr. Toby  Wellman,"Mr. Paul A. Bridson A.C.I.S., ACSA, B.Com., C.A., CA","Ms. Nerida Lee Schmidt A.C.I.S., ACIS, B.Com., BCom, C.P.A., CPA, F.Fin",,,,,,,,,,,,,,,,,
304,ERW,https://www.errawarra.com,1202 Hay Street,61 8 9322 3383,West Perth,WA,6005,Australia,"Mr. Thomas H. Reddicliffe BSc (Geology), FAusIMM, MSc",Mr. George  Ventouras,Ms. Mindy  Ku,,,,,,,,,,,,,,,,,
305,HXG,https://hxgenergymaterials.com.au,45 Ventnor Avenue,61 8 6244 0349,West Perth,WA,6005,Australia,Mr. Stephen  Hall,"Mr. Ian Edward Gregory B.Bus, F Fin, FCIS, FGIA, M.A.I.C.D.",,,,,,,,,,,,,,,,,,
306,VTX,https://www.vertexminerals.com.au,Unit 38; 460 Stirling Highway,61 8 6270 6316,Peppermint Grove,WA,6011,Australia,"Mr. Roger Alan Jackson A, AICD, BSc (geology), Dip Ed., Grad Dip, MAusIMM","Mr. Alexander James Neuling ACIS, BSc, FCA (ICAEW), FCIS",,,,,,,,,,,,,,,,,,
307,TZL,https://www.tz.net,40 Gloucester Street; Level 2,61 2 9053 6753,The Rocks,NSW,2000,Australia,Mr. John  Wilson,Mr. Mathew  Watkins C.A.,,,,,,,,,,,,,,,,,,
308,FTL,https://www.firetailresources.com.au,64-68 Hay Street; T2,61 8 9322 2338,Subiaco,WA,6008,Australia,Mr. Brett Richard Grosvenor,Mr. Leon  Bagas,Mr. Phillip  Mackenzie,Mr. Robin J. Wilson,"Mr. Craig  McNab BMS, C.A.",,,,,,,,,,,,,,,
309,NSM,https://northstawellminerals.com,167 Leviathan Road,61 3 5358 9210,Stawell,VIC,3880,Australia,Mr. Russell Henry Krause,Mr. Bill  Reid,Ms. Toni L. Griffith FCPA,Mr. Hasaka  Martin B. Ag Sc.,,,,,,,,,,,,,,,,
310,MTH,https://www.mithrilresources.com.au,100 Albert Road; Level 4 South Melbourne,61 3 9692 7222,Melbourne,VIC,3205,Australia,"Mr. John S. Skeet AusIMM, BAppSc","Ms. Claire  Newstead-Sinclair BBus, C.A., CA",,,,,,,,,,,,,,,,,,
311,GMN,https://goldmountainltd.com.au,24/589 Stirling Highway,61 7 3184 9133,Cottesloe,WA,6011,Australia,"Mr. Rhys  Davies AGIA, B.Sc., C.A.",Mr. David Andrew Evans B.Sc.,,,,,,,,,,,,,,,,,,
312,GML,https://www.gatewaymining.com.au,B1/431 Roberts Road,61 8 6383 9969,Subiaco,WA,6008,Australia,"Mr. Mark  Cossom B.Sc., BSc. (Hons), M.Sc., MAusIMM, MSc(MinEcon)",Mr. Kar  Chua B.Com.,Mr. Stuart  Stephens,,,,,,,,,,,,,,,,,
313,GCM,https://gcminerals.com.au,"40 Edward Street; Suite 4, Level 1",61 4 3931 0818,Brisbane,QLD,4000,Australia,"Dr. Leon Eugene Pretorius BSc (Hons), FAusIMM (CP), MAIG, MSc, PhD, PrNatSci",Mr. Clinton  Booth,"Ms. Suzanne Margaret Yeates B.Bus, C.A.","Ms. Anna Maria MacKintosh B.Com., CPA",,,,,,,,,,,,,,,,
314,GLH,https://www.global-health.com,696 Bourke Street; Level 2,61 3 9675 0600,Melbourne,VIC,3000,Australia,"Mr. Alumootil Mathew Ravi Cherian B.Bus(IS/IT), M.A.I.C.D., MACS, MAICD",Mr. Damon  Groenveld,Mr. Kye Thomas Cherian,Mr. Gareth  Hooper,Ms. Jessica  Moore,Mr. Robin  Armstrong,,,,,,,,,,,,,,
315,TOY,https://corporate.funtastic.com.au,45 - 49 McNaughton Road; Unit 3,,Clayton,VIC,3168,Australia,Ms. Lian  Yu,"Ms. Penelope  Cox M.A., M.B.A.",Ms. Kim  Clark,,,,,,,,,,,,,,,,,
316,TMB,https://tambourahmetals.com.au,10 Ord Street; Level 2 Unit 2,61 8 9481 8669,Perth,WA,6005,Australia,Ms. Rita Marian Brooks BEd,"Mr. Brett Douglas Dickson B.Bus., CPA, FCPA, M.A.I.C.D.",Mr. Graeme  Smith,,,,,,,,,,,,,,,,,
317,WC1,https://www.westcobarmetals.com.au,431 Roberts Road; Suite B9,61 8 9287 4600,Subiaco,WA,6008,Australia,Mr. Matthew  Szwedzicki,Mr. David  Pascoe,"Mr. Jerry  Monzu C.P.A., FCPA",,,,,,,,,,,,,,,,,
318,SIX,https://www.sprintex.com.au,"251 Adelaide Terrace; Suite 6, Level 1",61 8 9262 7277,Perth,WA,6000,Australia,Mr. Jude Benedict Upton,"Mr. Michael  van Uffelen A.C.A., B.Com., Bcom., CA",,,,,,,,,,,,,,,,,,
319,PFE,https://www.panteraminerals.com,10 Outram Street; Level 2,61 8 9467 2604,West Perth,WA,6005,Australia,Mr. Matthew  Hansen,Mr. Nicholas  Payne,"Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)",,,,,,,,,,,,,,,,,
320,BTE,https://www.botalaenergy.com,22 Mounts Bay Road; Unit 2,61 4 3152 7885,Perth,WA,6009,Australia,"Dr. Wolf Gerhard Martinick B.Sc., B.Sc. (Agric), FAusIMM",Mr. Kris Francis Martinick,"Mr. Craig  Basson B. Com (Hons), C.A., FCA, FGIA, GAICD",Mr. Timothy Lee Hoops,,,,,,,,,,,,,,,,
321,VMG,https://www.vdmgroup.com.au,420 Bagot Road; Unit 2,61 8 6166 6126,Subiaco,WA,6008,Australia,"Mr. Michael John Fry ASIA, B.Com., F.Fin.",,,,,,,,,,,,,,,,,,,
322,AGR,https://aguiaresources.com.au,"Rua Dr. Vale, 555; Sala 406",55 51 3519 5166,Porto Alegre,RS,90560-010,Brazil,Ms. Christina Mary McGrath,Mr. Alfredo Rossetto Nunes,Mr. Ross  Pearson,,,,,,,,,,,,,,,,,
323,HLX,https://www.helixresources.com.au,191 St Georges Terrace; Level 13,61 8 9321 2644,Perth,WA,6000,Australia,"Mr. Michael Benjamin Rosenstreich Bsc (Hons), Fausimm, Maicd, Mee",Dr. Kylie  Prendergast,Ms. Meagan  Hamblin,"Mr. Gordon James Barnes BSc, GAICD, MAIG, MSc, MSEG","Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)",,,,,,,,,,,,,,,
324,GIB,https://www.gibbriverdiamonds.com,1/16 Ord Street; Ground Floor,61 8 9422 9555,West Perth,WA,6005,Australia,"Mr. James McArthur Richards B.Sc., MAusIMM","Mr. Grant Jonathan Mooney BBus, C.A., CA",,,,,,,,,,,,,,,,,,
325,ILA,https://www.islandpharmaceuticals.com,697 Burke Road; Suite 201,61 3 7036 7675,Camberwell,VIC,3124,Australia,"Dr. Paul Donald Richard MacLeman BVSc, D.V.M., F.A.C.I.D., GAICD, Grad Cert Eng, Gr","Dr. David Charles Foster J.D., M.A.I.C.D., Ph.D.",Mr. Cameron  Jones C.A.,Stephanie  Vipond,,,,,,,,,,,,,,,,
326,LIO,https://www.lionenergy.com.au,295 Rokeby Road; Suite 1,61 8 9211 1500,Subiaco,WA,6008,Australia,Mr. Thomas Leo Soulsby,Mr. Damien  Servant,Mr. William  Morrison,Mr. Rowan  Harland,Mr. Scott  Wentz,,,,,,,,,,,,,,,
327,YOW,https://www.yowieworld.com,216 St Georges Terrace; Level 4,61 8 6268 2640,Perth,WA,6000,Australia,Mr. Sean  Taylor,Ms. Cynthia  Thayer,"Mr. Neville John Bassett A.M., AM, B.Bus., F.C.A., FCA",,,,,,,,,,,,,,,,,
328,PRX,https://www.prodigygold.com.au,67 Smith Street; Level 1,61 8 9423 9777,Darwin,NT,0800,Australia,"Mr. Mark  Edwards B.Sc., BSc (Geol), M.A.I.C.D., M.B.A., MAIG, MAusI","Ms. Jutta  Zimmermann Dip AQF, Dip IT, FCIS, FGIA, GradDipACG",Mr. Edward  Keys B.Sc.,Ms. Patricia  Farr,Mr. Bradley  Valiukas B.E.,,,,,,,,,,,,,,,
329,GLV,https://www.globaloilandgas.com.au,10 Outram Street; Level 1,61 8 9388 0051,West Perth,WA,6009,Australia,Mr. Kris  Martinick,"Mr. Lloyd  Flint BAcc, FINSIA, M.B.A., MBA",,,,,,,,,,,,,,,,,,
330,RNX,https://renegadeexploration.com,6 – 10 Douro Place; Unit 13,61 1 3005 25118,West Perth,WA,6005,Australia,Mr. Robert Edward Kirtlan,Ms. Paige  Exley,Mr. Benjamin Mathew Vallerine,"Mr. Graeme Ian Smith BEc, FCIS, FCPA, FCSA, MAusIMM, MBA, Mcomlaw",,,,,,,,,,,,,,,,
331,LRL,https://labyrinthresources.com,460 Roberts Road; Level 1 Suite 5,61 8 6149 1573,Subiaco,WA,6008,Australia,Mr. Simon Irwin Lawson M.Sc.,Ms. Jennifer  Neild,Mr. Edward  Milne,Mr. Bukhosi H. Ndimande,Ms. Kelly Ann Moore,,,,,,,,,,,,,,,
332,CCZ,https://www.castillocopper.com,45 Ventnor Avenue,61 8 6558 0866,West Perth,WA,6005,Australia,"Mr. Dale Brian Hanna B.Com., C.A., CA AGIA",,,,,,,,,,,,,,,,,,,
333,TMX,https://terrainminerals.com.au,28 Outram Street; Suite 2,61 8 9381 5558,West Perth,WA,6005,Australia,Mr. Justin Anthony Virgin,"Ms. Melissa Kate Chapman A.C.I.S., AGIA, B.Com., C.P.A.","Ms. Catherine  Grant-Edwards B.Com., C.A.",,,,,,,,,,,,,,,,,
